"file","plant","root","order","parentroot","time","DBase","length","mean.diameter","sd.diameter","nlat","branching.angle","tortuosity","surface","volume","lauz"
"PL01_DAS01",1,1,1,0,1,0,6.30453752441812,0.135111830946154,0.0266251223773746,0,19.5006808343895,1.01810902033077,2.78689116576094,0.100187350011508,6.30453752441812
"PL08_DAS01",1,1,1,0,1,0,5.74743654587883,0.148083974315018,0.0274911394430259,0,4.16518704701414,1.00610191884736,2.69819965714534,0.102129385475628,5.74743654587883
"PL10_DAS01",1,1,1,0,1,0,4.91926888863236,0.14243005498583,0.0280882328976756,0,4.93237532766018,1.00716382647285,2.27928055666686,0.0853037455573501,4.91926888863236
"PL01_DAS02",1,1,1,0,2,0,10.4856347985689,0.120628719529196,0.0226474021580312,0,19.5006808343895,1.02338469017866,4.09962103643515,0.131173199091397,10.4856347985689
"PL08_DAS02",1,1,1,0,2,0,9.35724946045677,0.136840365830128,0.0257764929084055,0,4.16518704701414,1.01819422834903,4.08284382843337,0.144498426443663,9.35724946045677
"PL10_DAS02",1,1,1,0,2,0,8.67258041876381,0.13448512145033,0.023295043914492,0,4.93237532766018,1.01350867956774,3.75236287161007,0.131788480187811,8.67258041876381
"PL01_DAS03",1,1,1,0,3,0,14.5369717053277,0.124711022694552,0.0187102680781598,12,31.9117678775796,1.02337602661152,5.61625960604955,0.175292290043895,13.1210191341269
"PL01_DAS03",1,2,2,1,3,0.236989743110015,0.938890338184732,0.0580909801230769,0.0119348337704118,0,55.4319895575586,1.15656905642861,0.185902673459295,0.00298804467065709,0.938890338184732
"PL01_DAS03",1,3,2,1,3,0.314927229668042,0.631185798562418,0.136462296387692,0.0913441044482758,0,54.7169348982362,1.19079442170395,0.322497360181682,0.0151721357709666,0.631185798562418
"PL01_DAS03",1,4,2,1,3,0.301315259167814,0.647358551440783,0.124537384519231,0.093105638495966,0,24.2821704837197,1.22482500215713,0.274065975047439,0.0109358432255062,0.647358551440783
"PL01_DAS03",1,5,2,1,3,0.488852024739188,0.624977200269384,0.0634542026602564,0.0120239172130353,0,60.2511376427365,1.15283913299469,0.122378442511832,0.00196346640841089,0.624977200269384
"PL01_DAS03",1,6,2,1,3,0.591247068478901,0.187142093288407,0.070725932025641,0.0231830526128508,0,79.6426233685153,1.04829404512284,0.0470438457002461,0.000927336678984894,0.187142093288407
"PL01_DAS03",1,7,2,1,3,0.541874007441273,0.0654498182532739,0.0837978580384615,0.024061442572206,0,74.7134721535844,1.02517541049068,0.0188334594781365,0.000384761315628698,0.0654498182532739
"PL01_DAS03",1,8,2,1,3,0.838230554953201,0.347112152071452,0.0732525742307692,0.0276373216761564,0,64.2302168526625,1.06017435074951,0.0784800042784953,0.00150221603897846,0.347112152071452
"PL01_DAS03",1,9,2,1,3,0.949310012433381,0.29445764450255,0.0500252165707692,0.0172834816010496,0,70.4391002161698,1.0480568905103,0.049585561122256,0.000683324552760467,0.29445764450255
"PL01_DAS03",1,10,2,1,3,1.05671080300048,0.28947620995795,0.0585806125038461,0.0174125585958567,0,52.6179100044397,1.12937339440824,0.0555909453314139,0.00087954033628233,0.28947620995795
"PL01_DAS03",1,11,2,1,3,0.836888070867688,0.495210180033627,0.0902638030141026,0.0465252110616003,0,55.607859264523,1.08115475262583,0.149659368605923,0.00398882837640063,0.495210180033627
"PL01_DAS03",1,12,2,1,3,1.39642954286079,0.226325244451282,0.0561725852865385,0.00935880025381865,0,65.0253168759841,1.06852881680375,0.0410073189686967,0.000596852125612828,0.226325244451282
"PL01_DAS03",1,13,2,1,3,1.41595257120082,0.293606387972631,0.0721044238923077,0.0126265769659875,0,74.6870084859126,1.02467521782534,0.0671362787174339,0.00123805472971636,0.293606387972631
"PL08_DAS03",1,1,1,0,3,0,13.134035460703,0.142992754275286,0.0258353162242962,0,3.01941506057398,1.03462342475648,6.00084907607358,0.222331561631598,13.134035460703
"PL10_DAS03",1,1,1,0,3,0,12.639550907866,0.139403770406593,0.0201440203532228,0,1.49456923090713,1.02690734177655,5.633989834949,0.20245263369088,12.639550907866
