"FileName","Time","TRL","GRTR","L1R","GR1R","TN1R","TNLR","TLRL","N2LR","L2LR","ML2LR","GR2L","D2LR","Height","Width","Convexhull","Magnitude","Altitude","ExtPathLength","MD1","MD2","MDLR","S1","S2","Stot","V1","V2","Vtot","LPR","LBR","GRPR","GRBR","TNBR","TNPR","MLBR","MDPR","MDBR","SPR","SBR","VPR","VBR"
"PL01_DAS01_1",1,6.30453752441812,6.30453752441812,6.30453752441812,6.30453752441812,1,0,0,0,0,0,0,0,6.19213997692308,0.293197084615384,1.28838481977292,1,1,1,0.135111830946154,NA,NA,2.78689116576094,NA,2.78689116576094,0.100187350011508,NA,0.100187350011508,6.30453752441812,0,6.30453752441812,0,0,1,0,0.135111830946154,NA,2.78689116576094,NA,0.100187350011508,NA
"PL08_DAS01_1",1,5.74743654587883,5.74743654587883,5.74743654587883,5.74743654587883,1,0,0,0,0,0,0,0,5.68542658461538,0.583356915384616,0.818743998190876,1,1,1,0.148083974315018,NA,NA,2.69819965714534,NA,2.69819965714534,0.102129385475628,NA,0.102129385475628,5.74743654587883,0,5.74743654587883,0,0,1,0,0.148083974315018,NA,2.69819965714534,NA,0.102129385475628,NA
"PL10_DAS01_1",1,4.91926888863236,4.91926888863236,4.91926888863236,4.91926888863236,1,0,0,0,0,0,0,0,4.88422266153846,0.161305630769231,0.558553044320763,1,1,1,0.14243005498583,NA,NA,2.27928055666686,NA,2.27928055666686,0.0853037455573501,NA,0.0853037455573501,4.91926888863236,0,4.91926888863236,0,0,1,0,0.14243005498583,NA,2.27928055666686,NA,0.0853037455573501,NA
"PL01_DAS02_1",2,10.4856347985689,4.18109727415078,10.4856347985689,4.18109727415078,1,0,0,0,0,0,0,0,10.1783876461538,1.50558304615385,5.22059776571621,1,1,1,0.120628719529196,NA,NA,4.09962103643515,NA,4.09962103643515,0.131173199091397,NA,0.131173199091397,10.4856347985689,0,4.18109727415078,0,0,1,0,0.120628719529196,NA,4.09962103643515,NA,0.131173199091397,NA
"PL08_DAS02_1",2,9.35724946045677,3.60981291457794,9.35724946045677,3.60981291457794,1,0,0,0,0,0,0,0,9.06712885384615,1.52507070769231,3.57782242148272,1,1,1,0.136840365830128,NA,NA,4.08284382843337,NA,4.08284382843337,0.144498426443663,NA,0.144498426443663,9.35724946045677,0,3.60981291457794,0,0,1,0,0.136840365830128,NA,4.08284382843337,NA,0.144498426443663,NA
"PL10_DAS02_1",2,8.67258041876381,3.75331153013145,8.67258041876381,3.75331153013145,1,0,0,0,0,0,0,0,8.44555470769231,1.34847818461538,2.96754037392819,1,1,1,0.13448512145033,NA,NA,3.75236287161007,NA,3.75236287161007,0.131788480187811,NA,0.131788480187811,8.67258041876381,0,3.75331153013145,0,0,1,0,0.13448512145033,NA,3.75236287161007,NA,0.131788480187811,NA
"PL01_DAS03_1",3,19.5781633243162,9.09252852574726,14.5369717053277,4.05133690675878,1,12,5.04119161898849,12,5.04119161898849,0.420099301582374,5.04119161898849,0.825481416848469,14.0885242153846,2.74851836923077,10.6679410971757,13,13,103,0.124711022694552,0.0771032930873144,0.0771032930873144,5.61625960604955,1.41218123340285,7.0284408394524,0.175292290043895,0.0412604042299054,0.216552694273801,14.5369717053277,0,4.05133690675878,0,0,1,0,0.124711022694552,NA,5.61625960604955,NA,0.175292290043895,NA
"PL08_DAS03_1",3,13.134035460703,3.77678600024621,13.134035460703,3.77678600024621,1,0,0,0,0,0,0,0,12.2189479346154,3.48142950769231,10.9765206477047,1,1,1,0.142992754275286,NA,NA,6.00084907607358,NA,6.00084907607358,0.222331561631598,NA,0.222331561631598,13.134035460703,0,3.77678600024621,0,0,1,0,0.142992754275286,NA,6.00084907607358,NA,0.222331561631598,NA
"PL10_DAS03_1",3,12.639550907866,3.96697048910215,12.639550907866,3.96697048910215,1,0,0,0,0,0,0,0,12.2916341376923,1.29254347692308,7.25746869762764,1,1,1,0.139403770406593,NA,NA,5.633989834949,NA,5.633989834949,0.20245263369088,NA,0.20245263369088,12.639550907866,0,3.96697048910215,0,0,1,0,0.139403770406593,NA,5.633989834949,NA,0.20245263369088,NA
"PL01_DAS04_1",4,41.3149244413753,21.7367611170591,19.1086660356722,4.5716943303445,1,35,22.2062584057031,35,22.2062584057031,0.634464525877232,17.1650667867146,1.83162968752825,18.6054543776923,2.94809886923077,22.8358223762118,36,36,701,0.134212799029821,0.0907853312219329,0.0907853312219329,7.99946778802249,6.87976806756247,14.879235855585,0.269279286775384,0.205059831973763,0.474339118749147,19.1086660356722,0,4.5716943303445,0,0,1,0,0.134212799029821,NA,7.99946778802249,NA,0.269279286775384,NA
"PL08_DAS04_1",4,25.8779618951244,12.7439264344214,17.721858792197,4.58782333149404,1,11,8.15610310292736,11,8.15610310292736,0.741463918447942,8.15610310292736,0.620702383930704,16.4907761076923,5.64404216923077,18.7499075019873,12,12,89,0.151771551110219,0.112061205881909,0.112061205881909,8.4377893164233,2.9892197535489,11.4270090699722,0.323840500782283,0.100402306401963,0.424242807184246,17.721858792197,0,4.58782333149404,0,0,1,0,0.151771551110219,NA,8.4377893164233,NA,0.323840500782283,NA
