"FileName","Time","TRL","GRTR","L1R","GR1R","TN1R","TNLR","TLRL","N2LR","N3LR","L2LR","L3LR","ML2LR","ML3LR","GR2L","GR3L","D2LR","Height","Width","Convexhull","MD1","MD2","MD3","MDLR","S1","S2","S3","Stot","V1","V2","V3","Vtot"
"lupin_d1_1",1,8.95314542993328,8.95314542993328,8.95314542993328,8.95314542993328,1,0,0,0,0,0,0,0,0,0,0,0,7.00886109866667,3.21494361666667,9.3748501522735,0.14449616135,NA,NA,NA,5.43591072387938,NA,NA,5.43591072387938,0.338509170372744,NA,NA,0.338509170372744
"lupin_d1_2",1,11.0132152144027,11.0132152144027,10.3738366047999,10.3738366047999,1,1,0.639378609602845,1,0,0.639378609602845,0,0.639378609602845,0,0.639378609602845,0,0.096396351523149,7.089102662,3.92335004,13.497925505272,0.128605585596108,0.0464859823571429,NA,0.0464859823571429,6.31666587514573,0.0966026453340635,NA,6.41326852047979,0.433125875000875,0.00116879709456617,NA,0.434294672095441
"lupin_d1_3",1,11.0223560552888,11.0223560552888,10.7664771455478,10.7664771455478,1,1,0.255878909741018,1,0,0.255878909741018,0,0.255878909741018,0,0.255878909741018,0,0.0928808919093399,5.90062049066667,3.78267129333333,14.2207713099176,0.148572673893594,0.0351675172244445,NA,0.0351675172244445,7.01089440589579,0.0290402296775123,NA,7.03993463557331,0.497052159412067,0.000263663492687634,NA,0.497315822904754
"lupin_d2_1",2,14.1087477084788,5.15560227854549,13.0653688035047,4.11222337357138,1,2,1.04337890497411,2,0,1.04337890497411,0,0.521689452487053,0,1.04337890497411,0,0.15307642899935,10.163528568,3.68972456533333,23.7600989808358,0.138498002817795,0.0450905980830303,NA,0.0450905980830303,8.1875324084448,0.158685520926895,NA,8.3462179293717,0.608031350508981,0.00194645628989476,NA,0.609977806798876
"lupin_d2_2",2,23.9598020212864,12.9465868068836,15.7561543884464,5.38231778364653,1,14,8.20364763283995,14,0,8.20364763283995,0,0.58597483091714,0,7.56426902323711,0,0.888541686940174,14.5560398066667,4.0254936,19.9910273709103,0.136599132994999,0.0432919081920667,NA,0.0432919081920667,9.52277794677154,1.19725784433038,NA,10.7200357911019,0.68365547761807,0.0145328945000557,NA,0.698188372118126
"lupin_d2_3",2,19.1041468946799,8.08179083939108,14.2804751241498,3.513997978602,1,12,4.8236717705301,12,0,4.8236717705301,0,0.401972647544175,0,4.56779286078908,0,0.840308175720761,13.2382776466667,2.32958132,17.4734510105743,0.163415335950608,0.0388426874435354,NA,0.0388426874435354,9.13551164794529,0.628431153698984,NA,9.76394280164427,0.664229453044036,0.00693329455006845,NA,0.671162747594104
"lupin_d3_1",3,24.8514234776784,10.7426757691996,17.4563167158191,4.39094791231445,1,13,7.39510676185924,13,0,7.39510676185924,0,0.568854366296865,0,6.35172785688514,0,0.744716093986726,16.3325419686667,2.96033698,25.04983774218,0.150538776105928,0.0419387907648936,NA,0.0419387907648936,10.616390178008,1.04032286926092,NA,11.656713047269,0.743661015381622,0.0126437656482436,NA,0.756304781029865
"lupin_d3_2",3,42.6123366473976,18.6525346261112,19.7302396721757,3.97408528372925,1,30,22.8820969752219,30,0,22.8820969752219,0,0.76273656584073,0,14.6784493423819,0,1.52050864553395,16.89803326,6.80365754666667,35.4191828707675,0.146170173783945,0.0443883067460517,NA,0.0443883067460517,11.4509637523058,3.4686976402536,NA,14.9196613925594,0.779488094468293,0.0450596333337855,NA,0.824547727802078
"lupin_d3_3",3,33.0433650419766,13.9392181472968,18.0497857949482,3.76931067079849,1,31,14.9935792470284,31,0,14.9935792470284,0,0.483663846678335,0,10.1699074764983,0,1.71747190532733,13.9999706453333,6.05437194,35.4257690728262,0.156141518466483,0.0353194658376947,NA,0.0353194658376947,10.8058316956111,1.86257720317457,NA,12.6684088987857,0.734726583864151,0.0200510290244565,NA,0.754777612888607
"lupin_d4_1",4,53.6873769305242,28.8359534528458,23.1765070973329,5.72019038151375,1,41,30.5108698331913,41,0,30.5108698331913,0,0.744167556907105,0,23.1157630713321,0,1.76903274629844,21.6627258726667,4.86195285333333,47.4722949603449,0.161704862579987,0.0417784694586599,NA,0.0417784694586599,14.1470505756989,4.30489534610644,NA,18.4519459218053,1.01307022822686,0.051925957879696,NA,1.06499618610655
"lupin_d4_2",4,83.0472958132126,40.434959165815,25.4657228610209,5.73548318884525,1,55,57.5815729521917,55,0,57.5815729521917,0,1.04693769003985,0,34.6994759769698,0,2.15976590572992,23.9663235006667,5.69888454666667,74.3061846461678,0.138887972448927,0.0437083441503942,NA,0.0437083441503942,14.4837724096022,8.59213217970244,NA,23.0759045893046,1.01733827644929,0.110940211173716,NA,1.12827848762301
"lupin_d4_3",4,64.1257453617369,31.0823803197603,22.7614652889834,4.7116794940351,1,55,41.3642800727536,55,0,41.3642800727536,0,0.75207781950461,0,26.3707008257252,0,2.41636464532098,20.3192102293333,4.75098025333333,57.0838751534805,0.146544985373631,0.0354072418437179,NA,0.0354072418437179,13.174934987028,4.8470503530926,NA,18.0219853401206,0.887745028618725,0.0477205850091163,NA,0.935465613627841
"lupin_d5_1",5,127.224553947912,73.5371770173876,30.0517527306317,6.8752456332988,1,73,97.1728012172801,73,0,97.1728012172801,0,1.33113426325041,0,66.6619313840888,0,2.42914284082976,28.144333094,6.934535026,107.626964891574,0.130327923917406,0.0396179724453899,NA,0.0396179724453899,15.5950203042318,12.6934752974022,NA,28.288495601634,1.01507287124234,0.145686375256411,NA,1.16075924649875
